Name,Price,Rate,Rating_count,Details,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Cartier Le Baiser Du Dragon,667 ,5,1 ,"['Cartier', 'Women', 'Perfume', 'Sophisticated', 'Woody', '100 ml', '2003', 'Gardenia, Bitter Almond, Neroli, iris, Musk, Jasmine, Cedar, Rose, Amber, Patchouli, Dark Chocolate, Caramel, Vetiver.', 'Eau de Parfum', 'Amaretto, Gardenia, Almond, Neroli', 'Iris, Jasmine, Musk, Rose, Cedar', 'Amber, Benzoin, Caramel, Patchouli, Chocolate, Vetiver']",Cartier,Women,Perfume,Sophisticated,Woody,100_ml,2003,"Gardenia, Bitter Almond, Neroli, iris, Musk, Jasmine, Cedar, Rose, Amber, Patchouli, Dark Chocolate, Caramel, Vetiver.",Eau de Parfum,"Amaretto, Gardenia, Almond, Neroli","Iris, Jasmine, Musk, Rose, Cedar","Amber, Benzoin, Caramel, Patchouli, Chocolate, Vetiver"
Est̩e Lauder SpellBound,395 ,No-Rate,0,"['Est̩e Lauder', 'Women', 'Perfume', 'Romantic', 'Oriental', '50 ml', '1991', 'Rose, Muguet, Apricot, Orange Blossom, Carnation, Cardamom, Sandalwood, Vanilla, Amber', 'Eau de Parfum', 'Rose, Muguet, Apricot', 'Orange Blossom, Carnation, Cardamom', 'Sandalwood, Vanilla, Amber']",Est̩e Lauder,Women,Perfume,Romantic,Oriental,50_ml,1991,"Rose, Muguet, Apricot, Orange Blossom, Carnation, Cardamom, Sandalwood, Vanilla, Amber",Eau de Parfum,"Rose, Muguet, Apricot","Orange Blossom, Carnation, Cardamom","Sandalwood, Vanilla, Amber"
Carolina Herrera Good Girl Legere,475 ,No-Rate,0,"['Carolina Herrera', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2018', 'Ylang-Ylang, Jasmine,Tonka Bean, Sandalwood', 'Eau de Parfum', 'Tangerine', 'Ylang-ylang, Jasmine Sambac Imperial', 'Tonka Bean, Dulce de Leche Accord']",Carolina Herrera,Women,Perfume,Romantic,Floral,50_ml,2018,"Ylang-Ylang, Jasmine,Tonka Bean, Sandalwood",Eau de Parfum,Tangerine,"Ylang-ylang, Jasmine Sambac Imperial","Tonka Bean, Dulce de Leche Accord"
Lootah Petal EDP,427 ,No-Rate,0,"['Lootah', 'Women', 'Perfume', 'Classical', 'Leather', '80 ml', 'Bergamot, Vetiver, Cardamom, Leather, Saffron, Oud', 'Eau de Parfum', 'Bergamot, Vetiver, Cardamom', 'Leather, Saffron', 'Oud']",Lootah,Women,Perfume,Classical,Leather,80_ml,,"Bergamot, Vetiver, Cardamom, Leather, Saffron, Oud",Eau de Parfum,"Bergamot, Vetiver, Cardamom","Leather, Saffron",Oud
Moschino Cheap And Chic I Love Love,162 ,5,1 ,"['Moschino', 'Women', 'Perfume', 'Glamorous', 'Floral', '50 ml', '2013', 'Orange, Grapefruit, Red Currant, Lemon,Tea Rose, Bulrush, Lily-of-the-Valley, Sugar Cane, Cinnamon,Musk, Cedar, Woody Notes', 'Eau de Toilette', 'Orange, Grapefruit, Red Currant, Lemon', 'Tea Rose, Bulrush, Lily-of-the-Valley, Sugar Cane, Cinnamon', 'Musk, Cedar, Woody Notes']",Moschino,Women,Perfume,Glamorous,Floral,50_ml,2013,"Orange, Grapefruit, Red Currant, Lemon,Tea Rose, Bulrush, Lily-of-the-Valley, Sugar Cane, Cinnamon,Musk, Cedar, Woody Notes",Eau de Toilette,"Orange, Grapefruit, Red Currant, Lemon","Tea Rose, Bulrush, Lily-of-the-Valley, Sugar Cane, Cinnamon","Musk, Cedar, Woody Notes"
Jo Malone Earl Grey & Cucumber EDC,653 ,No-Rate,0,"['Jo Malone', 'Unisex', 'Perfume', 'Dynamic', 'Citrus', '100 ml', '2011', 'Eau de Cologne', 'Bergamot, Water Notes, Jasmine, Red Apple', 'Cucumber, Angelica', 'Beeswax, Musk, Virginia Cedar, Vanilla.']",Jo Malone,Unisex,Perfume,Dynamic,Citrus,100_ml,2011,"Bergamot, Water Notes, Jasmine, Red Apple, Cucumber, Angelica, Beeswax, Musk, Virginia Cedar, Vanilla.",Eau de Cologne,"Bergamot, Water Notes, Jasmine, Red Apple","Cucumber, Angelica","Beeswax, Musk, Virginia Cedar, Vanilla."
Creed Sublime Vanille,2841 ,No-Rate,0,"['Creed', 'Women', 'Perfume', 'Feminine', '75 ml', '2010', 'Vanilla from Comoros (Africa), Tonka Bean,White Bergamot, Lemon,Tonkin Musk', 'Eau de Parfum', 'Vanilla from Comoros (Africa), Tonka Bean', 'White Bergamot, Lemon', 'Tonkin Musk']",Creed,Women,Perfume,Feminine,Oriental,75_ml,2010,"Vanilla from Comoros (Africa), Tonka Bean,White Bergamot, Lemon,Tonkin Musk",Eau de Parfum,"Vanilla from Comoros (Africa), Tonka Bean","White Bergamot, Lemon",Tonkin Musk
Creed Aventus Cologne,1742 ,No-Rate,0,"['Creed', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '50 ml', '2018', 'Apple, black currant, bergamot, pineapple, raspberry, patula, patchouli, jasmine, vanilla, musk, oakmoss, amber', 'Eau de Parfum', 'Apple, Black Currant, Bergamot, Pineapple', 'Raspberry, Batola, Patchouli, Jasmine', 'Vanilla, Musk, Oakmoss, Amber']",Creed,Men,Perfume,Extravagant,Aromatic,50_ml,2018,"Apple, black currant, bergamot, pineapple, raspberry, patula, patchouli, jasmine, vanilla, musk, oakmoss, amber",Eau de Parfum,"Apple, Black Currant, Bergamot, Pineapple","Raspberry, Batola, Patchouli, Jasmine","Vanilla, Musk, Oakmoss, Amber"
Creed Aventus For Her,1806 ,No-Rate,0,"['Creed', 'Women', 'Perfume', 'Feminine', 'Aromatic', '75 ml', '1992', 'Egyptian Green Apple, Pink Berries, Indonesian Patchouli, Italian Bergamot,Bulgarian and Turkish Roses, Indian Sandalwood, Styrax, Musk,Sweet Peach, Cassis, Lilac, Amber, Ylang Ylang', 'Eau de Parfum', 'Egyptian Green Apple, Pink Berries, Indonesian Patchouli, Italian Bergamot', 'Bulgarian and Turkish Roses, Indian Sandalwood, Styrax, Musk', 'Sweet Peach, Cassis, Lilac, Amber, Ylang Ylang']",Creed,Women,Perfume,Feminine,Aromatic,75_ml,1992,"Egyptian Green Apple, Pink Berries, Indonesian Patchouli, Italian Bergamot,Bulgarian and Turkish Roses, Indian Sandalwood, Styrax, Musk,Sweet Peach, Cassis, Lilac, Amber, Ylang Ylang",Eau de Parfum,"Egyptian Green Apple, Pink Berries, Indonesian Patchouli, Italian Bergamot","Bulgarian and Turkish Roses, Indian Sandalwood, Styrax, Musk","Sweet Peach, Cassis, Lilac, Amber, Ylang Ylang"
Creed Love In White,1501 ,No-Rate,0,"['Creed', 'Women', 'Perfume', 'Feminine', 'Floral', '75 ml', '2016', 'Orange Zest from Italy,Florentine Iris, Daffodils from France, Magnolia, Bulgarian Rose, Tonkin Rice,Vanilla, Ambergris, Mysore Sandalwood', 'Eau de Parfum', 'Orange Zest from Italy', 'Florentine Iris, Daffodils from France, Magnolia, Bulgarian Rose, Tonkin Rice', 'Vanilla, Ambergris, Mysore Sandalwood']",Creed,Women,Perfume,Feminine,Floral,75_ml,2016,"Orange Zest from Italy,Florentine Iris, Daffodils from France, Magnolia, Bulgarian Rose, Tonkin Rice,Vanilla, Ambergris, Mysore Sandalwood",Eau de Parfum,Orange Zest from Italy,"Florentine Iris, Daffodils from France, Magnolia, Bulgarian Rose, Tonkin Rice","Vanilla, Ambergris, Mysore Sandalwood"
Creed Tabarome,1512 ,No-Rate,0,"['Creed', 'Men', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2000', 'Bergamot, lemon, mandarin, ginger, Jasmine, sandalwood, vetiver, Musk, tobacco, tea', 'Eau de Parfum', 'Bergamot, lemon, mandarin, ginger', 'Jasmine, sandalwood, vetiver', 'Musk, tobacco, tea']",Creed,Men,Perfume,Charismatic,Oriental,100_ml,2000,"Bergamot, lemon, mandarin, ginger, Jasmine, sandalwood, vetiver, Musk, tobacco, tea",Eau de Parfum,"Bergamot, lemon, mandarin, ginger","Jasmine, sandalwood, vetiver","Musk, tobacco, tea"
